127.0.0.1 - - [29/Jan/2020:10:53:18 +0900] "GET / HTTP/1.1" 200 25788
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET / HTTP/1.1" 200 25788
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /css/egovframework/whms/style.css;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 65989
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /css/egovframework/whms/reset.css;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 54290
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /css/egovframework/whms/wijmo/vendor/wijmo.min.css;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 59246
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /css/egovframework/whms/bootstrap.min.css;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /css/egovframework/whms/wijmo/app.css;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /css/egovframework/whms/animate.css;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 59839
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /js/egovframework/whms/front-ui.js;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /js/egovframework/whms/jquery.navgoco.js;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 8017
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /images/egovframework/whms/bimg02.png;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 30377
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /images/egovframework/whms/logo_m01.png;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 14754
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /images/egovframework/whms/logo_cj.png;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 3543
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /js/egovframework/whms/needpopup.js;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 6725
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /js/egovframework/whms/jquery-1.11.3.min.js;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 95962
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /js/egovframework/whms/wijmo/vendor/wijmo.min.js;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 104036
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /js/egovframework/whms/wijmo/vendor/wijmo.input.min.js;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 131052
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:54:58 +0900] "GET /js/egovframework/whms/wijmo/vendor/wijmo.grid.min.js;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 154226
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:55:22 +0900] "GET /uat/uia/otpPopup.do;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 200 5922
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:55:22 +0900] "GET /css/egovframework/whms/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:55:23 +0900] "POST /uat/uia/getOtpKey.do HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:55:37 +0900] "POST /uat/uia/checkOtpKey.do HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:55:38 +0900] "POST /uat/uia/actionLogin.do;jsessionid=1C38EB2202131E770B6EB5248EAF362D HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:55:38 +0900] "GET /uat/uia/actionMain.do?parentYn=N HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:55:38 +0900] "GET /EgovPageLink.do?link=/egovframework/com/main_bottom HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:55:39 +0900] "GET /sym/mnu/mpm/EgovMainMenuHead.do?vStartP=1000000 HTTP/1.1" 200 2796
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:55:39 +0900] "GET /sym/mnu/mpm/EgovMainMenuRight.do?vStartP=1000000&parentYn=N HTTP/1.1" 200 40784
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:55:39 +0900] "GET /uat/uia/actionMain.do? HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:55:39 +0900] "GET /EgovPageLink.do?link=/egovframework/com/main_bottom HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:55:39 +0900] "GET /sym/mnu/mpm/EgovMainMenuHead.do?vStartP=1000000 HTTP/1.1" 200 2796
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:55:39 +0900] "GET /sym/mnu/mpm/EgovMainMenuRight.do?vStartP=1000000&parentYn= HTTP/1.1" 200 40604
0:0:0:0:0:0:0:1 - - [29/Jan/2020:10:55:39 +0900] "POST /whms/bi/userManageDataAjax.do HTTP/1.1" 200 1422
